Enero 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
31	06:39	07:05	85	18:49	274	19:14

Abril 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	06:40	07:05	85	18:48	274	19:13
02	06:41	07:06	84	18:46	275	19:11
03	06:42	07:07	84	18:45	275	19:10
04	06:42	07:08	83	18:44	276	19:09
05	06:43	07:08	83	18:42	276	19:07
06	06:44	07:09	82	18:41	277	19:06
07	06:45	07:10	82	18:40	277	19:05
08	06:45	07:11	81	18:38	278	19:04
09	06:46	07:12	81	18:37	278	19:02
10	06:47	07:12	80	18:36	279	19:01
11	06:48	07:13	80	18:34	279	19:00
12	06:48	07:14	80	18:33	280	18:58
13	06:49	07:15	79	18:32	280	18:57
14	06:50	07:15	79	18:30	280	18:56
15	06:51	07:16	78	18:29	281	18:55
16	06:51	07:17	78	18:28	281	18:53
17	06:52	07:18	77	18:27	282	18:52
18	06:53	07:19	77	18:25	282	18:51
19	06:54	07:19	76	18:24	283	18:50
20	06:54	07:20	76	18:23	283	18:49
21	06:55	07:21	76	18:22	283	18:48
22	06:56	07:22	75	18:21	284	18:46
23	06:57	07:22	75	18:20	284	18:45
24	06:57	07:23	74	18:18	285	18:44
25	06:58	07:24	74	18:17	285	18:43
26	06:59	07:25	74	18:16	285	18:42
27	07:00	07:26	73	18:15	286	18:41
28	07:00	07:26	73	18:14	286	18:40
29	07:01	07:27	72	18:13	287	18:39
30	07:02	07:28	72	18:12	287	18:38

Mayo 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	07:03	07:29	72	18:11	287	18:37
02	07:03	07:29	71	18:10	288	18:36
03	07:04	07:30	71	18:09	288	18:35
04	07:05	07:31	71	18:08	288	18:34
05	07:05	07:32	70	18:07	289	18:33
06	07:06	07:33	70	18:06	289	18:33
07	07:07	07:33	70	18:05	290	18:32
08	07:08	07:34	69	18:04	290	18:31
09	07:08	07:35	69	18:03	290	18:30
10	07:09	07:36	69	18:03	291	18:29
11	07:10	07:36	68	18:02	291	18:28
12	07:11	07:37	68	18:01	291	18:28
13	07:11	07:38	68	18:00	291	18:27
14	07:12	07:39	67	17:59	292	18:26
15	07:13	07:39	67	17:59	292	18:26
16	07:13	07:40	67	17:58	292	18:25
17	07:14	07:41	66	17:57	293	18:24
18	07:15	07:42	66	17:57	293	18:24
19	07:15	07:42	66	17:56	293	18:23
20	07:16	07:43	66	17:55	293	18:23
21	07:17	07:44	65	17:55	294	18:22
22	07:17	07:45	65	17:54	294	18:22
23	07:18	07:45	65	17:54	294	18:21
24	07:19	07:46	65	17:53	294	18:21
25	07:19	07:47	64	17:53	295	18:20
26	07:20	07:47	64	17:52	295	18:20
27	07:21	07:48	64	17:52	295	18:19
28	07:21	07:49	64	17:51	295	18:19
29	07:22	07:49	64	17:51	295	18:19
30	07:22	07:50	63	17:51	296	18:18
31	07:23	07:51	63	17:50	296	18:18

Junio 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	07:24	07:51	63	17:50	296	18:18
02	07:24	07:52	63	17:50	296	18:18
03	07:25	07:52	63	17:50	296	18:17
04	07:25	07:53	63	17:49	297	18:17
05	07:26	07:53	62	17:49	297	18:17
06	07:26	07:54	62	17:49	297	18:17
07	07:27	07:55	62	17:49	297	18:17
08	07:27	07:55	62	17:49	297	18:17
09	07:28	07:55	62	17:49	297	18:17
10	07:28	07:56	62	17:49	297	18:17
11	07:28	07:56	62	17:49	297	18:17
12	07:29	07:57	62	17:49	297	18:17
13	07:29	07:57	62	17:49	297	18:17
14	07:30	07:58	61	17:49	298	18:17
15	07:30	07:58	61	17:49	298	18:17
16	07:30	07:58	61	17:49	298	18:17
17	07:31	07:59	61	17:49	298	18:17
18	07:31	07:59	61	17:49	298	18:17
19	07:31	07:59	61	17:49	298	18:17
20	07:31	07:59	61	17:50	298	18:18
21	07:32	08:00	61	17:50	298	18:18
22	07:32	08:00	61	17:50	298	18:18
23	07:32	08:00	61	17:50	298	18:18
24	07:32	08:00	61	17:51	298	18:19
25	07:32	08:00	61	17:51	298	18:19
26	07:33	08:01	61	17:51	298	18:19
27	07:33	08:01	61	17:51	298	18:19
28	07:33	08:01	61	17:52	298	18:20
29	07:33	08:01	62	17:52	297	18:20
30	07:33	08:01	62	17:53	297	18:21

Julio 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	07:33	08:01	62	17:53	297	18:21
02	07:33	08:01	62	17:54	297	18:21
03	07:33	08:01	62	17:54	297	18:22
04	07:33	08:00	62	17:54	297	18:22
05	07:33	08:00	62	17:55	297	18:23
06	07:32	08:00	62	17:55	297	18:23
07	07:32	08:00	62	17:56	297	18:24
08	07:32	08:00	62	17:56	297	18:24
09	07:32	08:00	63	17:57	296	18:25
10	07:32	07:59	63	17:58	296	18:25
11	07:31	07:59	63	17:58	296	18:26
12	07:31	07:59	63	17:59	296	18:26
13	07:31	07:58	63	17:59	296	18:27
14	07:30	07:58	63	18:00	296	18:27
15	07:30	07:58	64	18:01	295	18:28
16	07:30	07:57	64	18:01	295	18:29
17	07:29	07:57	64	18:02	295	18:29
18	07:29	07:56	64	18:02	295	18:30
19	07:28	07:56	65	18:03	294	18:30
20	07:28	07:55	65	18:04	294	18:31
21	07:27	07:55	65	18:04	294	18:32
22	07:27	07:54	65	18:05	294	18:32
23	07:26	07:53	65	18:06	293	18:33
24	07:26	07:53	66	18:06	293	18:34
25	07:25	07:52	66	18:07	293	18:34
26	07:24	07:51	66	18:08	293	18:35
27	07:24	07:51	67	18:09	292	18:35
28	07:23	07:50	67	18:09	292	18:36
29	07:22	07:49	67	18:10	292	18:37
30	07:22	07:48	67	18:11	292	18:37
31	07:21	07:48	68	18:11	291	18:38

Agosto 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	07:20	07:47	68	18:12	291	18:39
02	07:19	07:46	68	18:13	291	18:39
03	07:18	07:45	69	18:14	290	18:40
04	07:18	07:44	69	18:14	290	18:41
05	07:17	07:43	69	18:15	290	18:41
06	07:16	07:42	70	18:16	289	18:42
07	07:15	07:41	70	18:16	289	18:43
08	07:14	07:40	70	18:17	289	18:43
09	07:13	07:39	71	18:18	288	18:44
10	07:12	07:38	71	18:19	288	18:45
11	07:11	07:37	71	18:19	288	18:46
12	07:10	07:36	72	18:20	287	18:46
13	07:09	07:35	72	18:21	287	18:47
14	07:08	07:34	73	18:22	286	18:48
15	07:07	07:33	73	18:22	286	18:48
16	07:06	07:32	73	18:23	286	18:49
17	07:05	07:31	74	18:24	285	18:50
18	07:04	07:30	74	18:24	285	18:50
19	07:03	07:28	74	18:25	284	18:51
20	07:01	07:27	75	18:26	284	18:52
21	07:00	07:26	75	18:27	284	18:52
22	06:59	07:25	76	18:27	283	18:53
23	06:58	07:24	76	18:28	283	18:54
24	06:57	07:22	77	18:29	282	18:54
25	06:55	07:21	77	18:29	282	18:55
26	06:54	07:20	77	18:30	282	18:56
27	06:53	07:18	78	18:31	281	18:56
28	06:52	07:17	78	18:32	281	18:57
29	06:50	07:16	79	18:32	280	18:58
30	06:49	07:15	79	18:33	280	18:58
31	06:48	07:13	80	18:34	279	18:59

Septiembre 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	06:47	07:12	80	18:34	279	19:00
02	06:45	07:11	80	18:35	278	19:00
03	06:44	07:09	81	18:36	278	19:01
04	06:43	07:08	81	18:37	278	19:02
05	06:41	07:06	82	18:37	277	19:02
06	06:40	07:05	82	18:38	277	19:03
07	06:39	07:04	83	18:39	276	19:04
08	06:37	07:02	83	18:39	276	19:05
09	06:36	07:01	84	18:40	275	19:05
10	06:34	07:00	84	18:41	275	19:06
11	06:33	06:58	85	18:41	274	19:07
12	06:32	06:57	85	18:42	274	19:07
13	06:30	06:55	85	18:43	273	19:08
14	06:29	06:54	86	18:44	273	19:09
15	06:27	06:52	86	18:44	273	19:09
16	06:26	06:51	87	18:45	272	19:10
17	06:25	06:50	87	18:46	272	19:11
18	06:23	06:48	88	18:46	271	19:12
19	06:22	06:47	88	18:47	271	19:12
20	06:20	06:45	89	18:48	270	19:13
21	06:19	06:44	89	18:49	270	19:14
22	06:17	06:42	90	18:49	269	19:14
23	06:16	06:41	90	18:50	269	19:15
24	06:15	06:40	91	18:51	268	19:16
25	06:13	06:38	91	18:51	268	19:17
26	06:12	06:37	92	18:52	267	19:17
27	06:10	06:35	92	18:53	267	19:18
28	06:09	06:34	92	18:54	266	19:19
29	06:07	06:33	93	18:54	266	19:20
30	06:06	06:31	93	18:55	265	19:20

Octubre 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	06:05	06:30	94	18:56	265	19:21
02	06:03	06:28	94	18:57	265	19:22
03	06:02	06:27	95	18:57	264	19:23
04	06:00	06:26	95	18:58	264	19:24
05	05:59	06:24	96	18:59	263	19:24
06	05:57	06:23	96	19:00	263	19:25
07	05:56	06:21	97	19:01	262	19:26
08	05:55	06:20	97	19:01	262	19:27
09	05:53	06:19	98	19:02	261	19:28
10	05:52	06:17	98	19:03	261	19:29
11	05:51	06:16	99	19:04	260	19:29
12	05:49	06:15	99	19:05	260	19:30
13	05:48	06:13	100	19:05	259	19:31
14	05:47	06:12	100	19:06	259	19:32
15	05:45	06:11	100	19:07	259	19:33
16	05:44	06:10	101	19:08	258	19:34
17	05:43	06:08	101	19:09	258	19:35
18	05:41	06:07	102	19:10	257	19:35
19	05:40	06:06	102	19:10	257	19:36
20	05:39	06:05	103	19:11	256	19:37
21	05:37	06:03	103	19:12	256	19:38
22	05:36	06:02	104	19:13	255	19:39
23	05:35	06:01	104	19:14	255	19:40
24	05:34	06:00	104	19:15	255	19:41
25	05:33	05:59	105	19:16	254	19:42
26	05:31	05:58	105	19:17	254	19:43
27	05:30	05:57	106	19:18	253	19:44
28	05:29	05:55	106	19:18	253	19:45
29	05:28	05:54	106	19:19	252	19:46
30	05:27	05:53	107	19:20	252	19:47
31	05:26	05:52	107	19:21	252	19:48

Noviembre 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	05:25	05:51	108	19:22	251	19:49
02	05:24	05:50	108	19:23	251	19:50
03	05:23	05:49	108	19:24	250	19:51
04	05:22	05:48	109	19:25	250	19:52
05	05:21	05:47	109	19:26	250	19:53
06	05:20	05:47	110	19:27	249	19:54
07	05:19	05:46	110	19:28	249	19:55
08	05:18	05:45	110	19:29	249	19:56
09	05:17	05:44	111	19:30	248	19:57
10	05:16	05:43	111	19:31	248	19:58
11	05:15	05:42	111	19:32	248	19:59
12	05:14	05:42	112	19:33	247	20:00
13	05:13	05:41	112	19:34	247	20:01
14	05:13	05:40	112	19:35	247	20:02
15	05:12	05:40	113	19:36	246	20:04
16	05:11	05:39	113	19:37	246	20:05
17	05:11	05:38	113	19:38	246	20:06
18	05:10	05:38	114	19:39	245	20:07
19	05:09	05:37	114	19:40	245	20:08
20	05:09	05:37	114	19:41	245	20:09
21	05:08	05:36	115	19:42	244	20:10
22	05:08	05:36	115	19:43	244	20:11
23	05:07	05:35	115	19:43	244	20:12
24	05:07	05:35	115	19:44	244	20:13
25	05:06	05:35	116	19:45	243	20:14
26	05:06	05:34	116	19:46	243	20:15
27	05:05	05:34	116	19:47	243	20:16
28	05:05	05:34	116	19:48	243	20:17
29	05:05	05:34	117	19:49	242	20:18
30	05:05	05:33	117	19:50	242	20:19

Diciembre 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	05:04	05:33	117	19:51	242	20:20
02	05:04	05:33	117	19:52	242	20:21
03	05:04	05:33	117	19:53	242	20:22
04	05:04	05:33	118	19:54	241	20:23
05	05:04	05:33	118	19:54	241	20:24
06	05:04	05:33	118	19:55	241	20:24
07	05:04	05:33	118	19:56	241	20:25
08	05:04	05:33	118	19:57	241	20:26
09	05:04	05:33	118	19:58	241	20:27
10	05:04	05:33	118	19:58	241	20:28
11	05:04	05:33	118	19:59	241	20:29
12	05:04	05:33	119	20:00	240	20:29
13	05:04	05:34	119	20:01	240	20:30
14	05:04	05:34	119	20:01	240	20:31
15	05:05	05:34	119	20:02	240	20:31
16	05:05	05:34	119	20:03	240	20:32
17	05:05	05:35	119	20:03	240	20:33
18	05:06	05:35	119	20:04	240	20:33
19	05:06	05:36	119	20:04	240	20:34
20	05:06	05:36	119	20:05	240	20:34
21	05:07	05:37	119	20:05	240	20:35
22	05:07	05:37	119	20:06	240	20:35
23	05:08	05:38	119	20:06	240	20:36
24	05:09	05:38	119	20:07	240	20:36
25	05:09	05:39	119	20:07	240	20:37
26	05:10	05:39	119	20:08	240	20:37
27	05:10	05:40	119	20:08	240	20:37
28	05:11	05:41	119	20:08	240	20:38
29	05:12	05:41	119	20:08	240	20:38
30	05:12	05:42	119	20:09	240	20:38
31	05:13	05:43	119	20:09	240	20:38
